,x,y,clay1,clay2,clay3,clay4,valsSlope,valsDem
11314,601840.9847,6158969.61,25.087,28.79,32.079,19.869,0.041240714,355.256134
11315,601869.3189,6158969.61,25.087,28.79,32.079,19.869,0.042091552,355.6078186
11316,601897.6531,6158969.61,25.087,28.79,32.079,19.869,0.040998399,355.9031067
11317,601925.9874,6158969.61,23.637,30.105,37.86,31.967,0.038065348,356.0939331
11318,601954.3216,6158969.61,23.637,30.105,37.86,31.967,0.033745669,356.1334534
11319,601982.6558,6158969.61,23.637,30.105,37.86,31.967,0.028467515,356.0071106
11320,602010.9901,6158969.61,25.136,28.904,32.088,19.985,0.022225503,355.7892761
11321,602039.3243,6158969.61,25.136,28.904,32.088,19.985,0.01690935,355.6508789
11322,602067.6585,6158969.61,25.136,28.904,32.088,19.985,0.014934018,355.6654968
11323,602095.9928,6158969.61,25.136,28.904,32.088,19.985,0.016597988,355.8556519
11324,602124.327,6158969.61,24.857,28.586,31.558,19.192,0.021938305,356.2911987
11325,602152.6612,6158969.61,24.857,28.586,31.558,19.192,0.027521342,356.9743958
11326,602180.9955,6158969.61,24.857,28.586,31.558,19.192,0.030951019,357.8095703
11327,602209.3297,6158969.61,24.98,28.611,31.234,18.309,0.032194063,358.7219238
