Species,Wing,Weight,Culmen,Hallux
RT,412,1160,27.8,33
SS,203,150,11.5,13.9
SS,201,130,11.7,14.4
RT,411,1240,26.8,32.7
RT,373,930,24.4,27.4
SS,178,90,10.9,12.1
RT,415,1240,25.6,31.2
RT,383,1030,25.2,29.8
CH,223,550,18.8,21.3
RT,390,1250,26.5,32
RT,390,999,25.3,29.8
RT,365,1120,26.5,30.8
RT,345,1000,26.4,30.1
CH,273,530,19.2,24.7
RT,400,1040,27.7,32.1
RT,380,1150,27.8,31.1
RT,330,1000,25.9,30.2
RT,410,1360,33.3,28.6
RT,313,930,25.7,28.9
RT,384,980,25.8,30.4
RT,409,1260,27.7,31.8
RT,390,900,27.5,28.6
RT,411,1300,25.9,31.9
CH,259,470,16.6,23.4
RT,380,1040,26.4,30.9
RT,370,950,27.3,30.5
RT,415,1320,29.4,33.9
SS,215,180,14.1,12.7
RT,410,1280,27.9,32.7
RT,412,1310,26.1,31.1
RT,384,910,26.4,28.4
RT,404,1220,28.6,30.4
RT,375,920,23.8,28.8
RT,410,1135,26.4,32.4
RT,384,940,26.2,29.8
RT,385,920,25,32.2
RT,398,1280,28,32.4
RT,425,1220,27.3,33
RT,401,1000,26.7,28
RT,387,1120,26.8,50.2
RT,376,925,26,30.8
SS,171,90,9.9,11.9
RT,420,1280,27.5,31.8
RT,385,985,27.5,30.8
RT,405,1350,28.3,32.6
RT,350,730,24.6,25.7
RT,388,890,27.8,31.2
RT,398,1020,26.5,31.1
RT,410,1000,27.1,30.6
SS,202,150,11.7,14.1
SS,204,180,11.5,12.4
RT,382,1020,26.5,29.4
RT,111,1340,26.85,31.9
RT,396,1300,27.3,30.5
RT,363,1015,25.5,30.1
RT,360,900,30.5,28.8
RT,390,1000,26.1,29.6
SS,195,150,12.3,14.6
RT,390,1050,24.8,32.5
RT,380,950,24.9,29
CH,225,350,12.6,26
CH,247,375,16.9,18.2
RT,415,1175,28.3,33.2
RT,354,980,25.8,29.3
RT,417,1260,29,32.8
RT,379,1050,25.9,31.3
RT,412,1330,29.2,32.2
RT,377,980,28,29.1
RT,372,920,25.3,30
RT,420,1540,29.9,35.5
RT,368,1060,25.5,26.9
RT,406,1420,29.9,32
CH,225,400,15,20
RT,392,1142,27.2,33
SS,191,157,12,13.8
SS,161,98,10.3,11.7
RT,365,813,26.2,30.1
SS,156,94,9.9,11.4
SS,191,155,16.5,14.4
SS,198,181,12.5,14.1
SS,160,92,9.8,11
SS,164,98,10.1,11.4
RT,352,1024,26.6,30.3
CH,265,464,19.2,24.1
SS,163,100,10.4,11.2
SS,193,186,12.8,14
SS,190,164,11.9,14.5
SS,165,98,10.1,11.4
SS,198,158,12.1,14.5
RT,370,1023,25.8,30.1
RT,230,340,16.5,30.5
CH,194,163,12.2,20
SS,157,92,9.8,14.7
SS,260,550,19.5,11.2
CH,377,1119,25.4,23.9
RT,364,917,26,29.6
RT,367,946,26.7,28.9
RT,233,337,15.7,31.9
CH,336,742,23.4,18.8
SS,259,439,18.8,15.2
CH,199,187,12.2,24.2
SS,165,92,9.7,14.6
SS,370,1094,27.3,11.5
RT,362,832,23.8,32.6
RT,368,1244,26.7,30.2
RT,367,974,25.2,29.6
RT,400,1289,28.6,32.1
RT,379,999,28.3,32
RT,360,994,26.5,30.4
RT,362,1004,27,31.4
RT,378,1097,28.9,33.4
SS,201,185,13.1,14.5
SS,193,181,12.8,11.5
RT,372,1092,27.2,31.8
RT,369,1049,30.1,32
RT,354,998,27.2,29.2
RT,367,1091,31.8,34.2
RT,349,987,29,31.1
RT,375,1151,34.1,33.7
RT,343,971,25.1,26.1
RT,360,1159,32.9,34
RT,395,1239,26.7,33.2
RT,400,1216,28.5,32.1
SS,170,177,12.3,14.4
CH,268,469,20,24.9
RT,369,1039,26.9,29.5
RT,365,1079,25.2,30
RT,375,1159,33.8,32.7
SS,230,162,12.3,13.8
CH,213,339,23.5,13.8
RT,382,1403,34.9,34.7
SS,168,175,12.9,14
RT,478,1473,39.2,44.7
RT,469,1001,29.9,43.2
SS,172,98,8.7,10.9
RT,373,914,25.9,30.4
RT,386,1059,25.5,30.5
RT,384,1147,29,35
RT,351,949,26.8,29.7
SS,168,102,9.6,11.9
RT,363,973,24.8,27.3
SS,199,196,12.4,15.2
CH,235,327,16.5,20.3
RT,374,1064,26,32.1
RT,369,749,24,26.8
SS,202,201,11.7,14.9
SS,202,180,12.4,14.1
RT,374,1213,24.9,28
RT,389,1200,28.2,30.8
RT,379,1040,25.3,29.4
SS,170,113,10.6,11.1
RT,373,919,24.2,28.5
RT,403,1487,26,32.5
RT,400,1254,25.2,30
SS,205,156,10.8,14.1
RT,405,1189,27.7,31.3
RT,382,979,24.8,27.9
SS,165,96,10.7,11.4
RT,407,1339,27.3,33.4
RT,403,1199,28.8,31
RT,406,1344,27.9,33.1
RT,381,969,26.1,31.1
RT,395,1039,26,29.7
RT,410,1054,28.5,31.5
CH,243,334,17.5,19.2
SS,170,101,9.8,11
SS,210,181,12.2,15
RT,425,1449,30.3,33
RT,402,985,26.6,29.8
RT,480,1598,34.2,35.4
RT,412,992,30.1,31.5
CH,260,569,19.1,24
RT,381,1354,28.2,32
RT,392,969,25.9,29
RT,382,1080,25.3,31
SS,196,185,12.5,14
RT,391,1097,27.9,32.8
RT,397,1439,28.8,31.4
RT,376,1019,25.8,29.5
RT,410,1239,29.5,31.8
RT,381,1399,27.6,31.3
RT,396,1169,27.5,25.2
RT,383,1164,27,29.9
SS,203,176,11.5,14.7
CH,255,429,19,22.9
SS,196,160,12.3,14.7
SS,168,105,10.2,11
RT,392,890,24.1,29.2
SS,163,100,9.7,11.6
RT,395,1215,28.3,33
SS,163,100,9.9,11.3
RT,370,1030,27.6,31.4
CH,225,340,15.7,19.4
SS,197,165,11.9,9.6
RT,376,985,26.4,30.3
RT,372,975,26.5,31.6
RT,391,1165,28.2,32.4
SS,165,95,9.7,11.2
RT,364,1044,23.5,29
SS,202,180,12.9,15
SS,163,125,9.7,10.9
RT,375,890,24.6,28
RT,392,1105,26.4,33.6
RT,398,1310,28.3,35.2
RT,371,895,26.8,31
RT,367,1060,26.8,31
SS,193,165,13.2,14.6
RT,375,960,28.9,29.3
RT,408,1270,29.4,33
CH,252,540,20,28.8
CH,237,365,17.3,19.9
RT,399,1170,28.3,29.9
CH,268,590,20,19.9
RT,388,1225,29,31.5
SS,200,175,12.3,15.6
SS,192,170,12.4,15.5
SS,167,100,10,11.3
RT,370,1060,26.6,31.9
SS,162,110,10,11.8
RT,363,850,25.5,30
RT,371,1145,25.5,10.3
SS,199,165,12.5,15.7
RT,386,1090,26.1,28.2
RT,400,1345,32.6,33.9
RT,390,1050,26.6,29
SS,199,200,12.5,14.9
CH,254,505,19.6,24
RT,382,1040,27.1,30.8
SS,196,155,12.7,14.3
RT,354,965,26.2,28.5
RT,403,1105,28.9,33.2
SS,194,155,12.6,13.7
RT,375,1045,27.2,30
RT,369,900,24.4,27.3
RT,368,1015,25.7,30.3
RT,393,1385,27.9,32.6
RT,370,1165,26,31.5
RT,378,905,28,32.3
RT,369,985,26,31.1
RT,364,800,25.5,28.6
RT,387,995,26.9,31.4
RT,410,1460,29.4,33.6
SS,194,165,11.9,14.1
RT,410,1585,30.6,39.8
SS,194,185,13.1,15.5
RT,373,920,25,28.3
RT,390,1460,29.3,35.6
RT,404,1315,30,32.5
RT,375,1019,26,29.9
RT,395,1215,29.7,31.3
RT,379,1005,27.8,31.4
RT,382,1350,27.9,29.9
RT,404,1145,27.7,31.8
SS,205,175,12.25,15.5
RT,377,1010,25.4,29
SS,184,155,12,14.9
RT,390,1120,26.6,30
RT,404,280,28.2,31.55
RT,351,775,25.4,29.3
RT,394,1210,29.4,31.7
SS,175,107,10,11.4
RT,372,909,24.4,25.4
SS,169,95,10,11.85
RT,376,1145,25.1,31.55
RT,399,1150,27.2,29.55
RT,399,1560,30,33.85
RT,357,940,23.6,28.35
SS,195,145,11.7,14.6
RT,400,1089,27.3,33.1
RT,382,1194,29.4,33.8
SS,161,95,10.1,11.3
RT,390,1015,28,30.1
RT,379,975,24.1,29.1
RT,376,1035,26.8,30.5
RT,331,1055,27,30.4
RT,371,945,26.1,30.2
SS,160,90,11,11.8
RT,361,785,25.2,28.7
CH,268,56,19.3,26.1
RT,394,1220,30.3,34.5
SS,191,175,13,15.3
RT,358,1025,27.4,29
RT,380,1000,26.9,29
SS,188,175,12.1,14.2
RT,397,1210,28.3,34
SS,196,180,13.1,13.9
SS,190,175,12.8,14.6
SS,161,90,9.8,11.1
CH,145,320,16.5,20.5
RT,392,1185,28.5,33
CH,230,350,16.4,21.3
RT,363,950,24.6,30.3
SS,162,85,10.1,11.4
RT,374,895,26.4,30.8
RT,412,1150,27.8,33.2
CH,272,565,20.7,24
RT,388,950,26.5,32.2
RT,371,990,26.9,29.7
CH,225,325,15.8,18.7
RT,391,1120,29,33.9
SS,163,90,9.8,11.5
RT,410,1120,28.5,33.6
RT,368,820,25.2,28.7
RT,410,1200,26.7,29.4
RT,425,1120,29.4,33.3
RT,368,1120,24.7,30.8
RT,392,1220,27.3,34.1
SS,250,470,18.9,25.3
RT,418,1310,29.1,31.9
RT,370,920,26.8,29.7
SS,170,100,10.9,12.2
SS,203,180,13.2,15.6
RT,370,955,26.5,30.5
RT,408,1225,28.8,32.7
RT,393,1400,27.9,35.3
RT,365,1025,24.6,30.1
RT,405,1140,28.2,31.9
RT,381,1080,26.1,31.6
RT,390,1135,27.6,31.1
RT,384,1430,29.8,35
RT,390,1050,25.6,29.9
RT,381,920,27,29.6
SS,194,175,12.4,14
RT,371,905,23.6,26.8
RT,356,915,26.4,28.9
RT,377,910,25,29
RT,362,950,25.4,29.7
SS,165,105,10.1,11.8
SS,155,100,9.3,11.8
RT,400,1225,27.3,34.2
SS,161,105,10.4,12
RT,387,1090,27.9,32.4
RT,409,1350,30,32.7
SS,195,200,13,13.4
SS,196,200,13.5,15.4
SS,169,100,10,11.7
RT,385,940,26.2,30.5
RT,377,920,24.7,29.3
RT,400,1190,29.4,33.3
SS,164,90,9.4,10.7
SS,165,95,10.4,11.4
RT,363,915,25,28.3
CH,266,535,18.8,25.4
RT,403,1310,29.1,33.3
RT,375,950,26.9,30.1
SS,166,120,10.1,11.7
RT,373,975,26.1,27.9
RT,373,990,27.9,31
RT,373,1270,26.5,29.6
RT,354,960,26,31
RT,394,1290,28.8,30.7
SS,165,95,10.2,11.6
CH,261,505,19.2,25.1
RT,377,1045,26.9,31.5
RT,364,1090,27.1,30.3
RT,385,1180,28.6,30
RT,390,1195,27.6,34.7
RT,383,1055,27.7,32.7
RT,365,1025,26.1,30.3
SS,201,175,12,14.8
RT,376,940,25.1,31.7
RT,402,1335,28.3,33.3
RT,394,1085,29.4,32.7
CH,223,375,16.2,20.7
RT,378,1090,28,30.9
RT,369,995,26,28.2
RT,378,1090,28,30.7
RT,262,1020,28,31.2
SS,165,100,10.6,12.1
RT,379,1000,28.6,32.2
RT,380,1085,27.4,33.3
RT,380,1045,24.9,27
RT,393,1060,27.7,32.4
RT,389,1135,27.1,32.1
RT,395,1210,28.5,28.5
SS,207,185,13,14.3
RT,367,965,24.8,24.1
RT,368,905,26.8,27
RT,377,1125,25.3,29.5
RT,374,950,27.2,29.8
RT,385,1195,27.3,30.9
RT,363,1005,25,31.6
SS,199,175,12.3,15
RT,378,995,26.2,30
SS,200,165,12.1,14.2
RT,405,1170,29.25,39.8
SS,194,145,12,14.6
SS,190,175,12.4,15.2
SS,195,170,13.1,14.8
SS,161,105,10.3,11.2
SS,168,95,10,11.4
SS,160,95,9.8,10.8
RT,392,1085,31.2,34.6
SS,201,165,12.3,14.8
RT,395,1115,27.4,32.7
RT,390,1195,27.6,33
SS,161,100,9.8,11.9
CH,230,365,16.9,23.55
SS,192,170,11.9,9.5
SS,156,90,9.8,11.3
SS,158,95,10.7,11.1
SS,167,115,9.8,11.4
SS,199,155,11.9,14.5
CH,320,229,17,21
RT,389,1165,29,33.1
CH,227,155,17.1,21
CH,230,340,16.1,20.2
SS,199,180,12,15.5
RT,378,235,25.4,30.7
SS,164,105,10.2,11.2
RT,385,1085,27.5,30.8
RT,369,970,26.1,30.4
RT,378,1030,28.5,31.9
RT,373,1015,25.5,29.6
RT,419,1030,29.2,31.5
RT,414,1215,26.4,29.2
SS,203,185,13.5,14.2
SS,162,95,10.2,11
SS,165,95,10,11
SS,161,95,9.7,11
SS,161,110,10.1,11.8
RT,404,1170,28.4,32.8
SS,165,105,10.4,11.2
SS,199,175,12.8,14.5
SS,171,95,10.9,11.7
SS,213,190,13.7,15.2
SS,169,105,10.2,11.8
RT,379,1435,27.4,32.7
RT,407,1235,30.1,35.8
RT,376,1055,29.5,32.2
RT,380,1105,22,30.8
SS,172,120,9.8,11.8
RT,408,1390,28.4,32.7
SS,167,105,10.3,10.8
RT,374,1080,26.5,31.3
RT,376,910,26.1,32.2
CH,258,490,18,24.2
RT,370,845,25,27.4
SS,202,175,13.3,14.9
RT,363,865,25.6,27.3
SS,200,180,11.9,13.5
RT,372,2030,26.2,30.2
RT,378,960,24.6,30
CH,254,515,19.5,23.8
RT,361,970,26.3,30.7
RT,389,1265,26.6,30.6
RT,404,1300,29.4,32.8
SS,195,170,12.9,14.7
SS,203,191,13.5,15.5
CH,253,540,19.1,22.6
SS,199,185,12,14.9
SS,194,165,11.9,14.4
SS,196,205,12.2,14
SS,168,95,10.4,12.1
RT,395,1170,25.8,30.5
RT,368,1075,27.7,31.7
SS,210,200,12.1,15.3
RT,401,965,25.8,29.1
RT,355,785,22.7,25
RT,377,1095,25.6,31.7
SS,197,160,12,14.7
SS,171,95,9.1,11.5
RT,277,1500,29.7,32.1
RT,435,1595,27.4,34.5
RT,372,985,25.4,31
CH,260,565,20,24.2
RT,390,240,25.2,29.3
RT,359,875,26,31.1
RT,393,1225,29,33.4
RT,402,1255,30.6,34.6
RT,362,950,26.8,30.7
CH,227,330,16,18.5
RT,359,895,27.5,30.1
SS,155,100,9.8,12
CH,261,455,17.1,26.8
SS,160,90,10.3,11.5
SS,166,105,11.3,11.4
RT,362,1305,28.2,34.3
RT,375,975,27.2,31.8
RT,388,1185,28.9,34.3
RT,392,1030,26.1,30.5
RT,412,1215,28.7,34.1
RT,371,1075,26.9,32.8
CH,255,960,19.7,42.8
RT,391,795,24.3,27.6
SS,190,180,12.2,14.2
RT,385,1225,27.8,32
SS,166,110,10,11.9
SS,197,165,12.2,14.9
RT,370,920,26.3,32
SS,190,170,12,15
RT,400,1315,29.6,34
SS,162,100,9.4,11.1
SS,194,155,12.5,14.5
RT,395,1155,29.9,34.4
RT,403,1160,29,32.3
RT,386,955,27.9,30.4
SS,193,190,13.1,14.9
SS,203,180,13.8,14.7
SS,159,90,10,11.5
SS,163,100,9.8,11.7
SS,191,190,12.4,14.8
SS,166,105,10.3,12
RT,361,1030,27,30.5
CH,260,565,19.7,54.5
CH,234,380,12.4,21.9
RT,377,1040,28.1,30.9
RT,361,910,24.3,27.5
RT,375,1005,26,32.5
SS,193,180,11.9,14.3
SS,196,175,12.4,15.6
SS,159,105,9.8,11
SS,192,190,11.8,14.2
RT,401,1250,28.2,35.3
SS,198,185,12.6,15.2
RT,407,1275,27.5,33.7
SS,162,105,9.8,12.5
CH,169,640,16.7,23.6
SS,168,100,10.5,10.7
SS,168,105,10.7,11.6
CH,223,390,15.9,20.6
RT,375,1030,26.9,31.3
RT,406,1290,29.3,33.3
RT,386,1020,26.9,31.6
SS,160,105,9.9,11.4
RT,378,1055,26.5,29.9
SS,193,185,12.3,14.8
RT,379,1010,25,29.3
RT,364,1015,24.9,29.5
RT,350,1115,29.5,30.3
RT,380,1320,26.7,31.6
RT,395,1180,30.3,33.4
RT,372,1145,25.9,32.2
RT,376,995,28,30.2
RT,367,1045,26.1,30.5
CH,230,340,16,19.5
RT,366,935,25.7,27.1
RT,386,1065,26.1,31
RT,375,1110,27.7,31.3
SS,199,190,12,15.2
RT,405,1255,27.9,31.8
RT,371,1015,24.9,28.4
SS,193,190,12.2,15.2
RT,350,960,26.6,29.9
SS,193,200,11.3,13.5
RT,368,1090,27.3,30.4
SS,185,170,12,14.7
RT,372,1085,25.4,29.8
RT,396,1065,27.7,30
RT,365,1125,26.9,29.3
RT,374,1050,25.5,30.3
CH,253,525,19.5,23.5
RT,372,980,26.4,29
RT,376,1180,24.4,30.7
SS,166,115,9.9,11.6
RT,369,1095,26.6,28.4
RT,391,1330,26.8,30.1
SS,193,185,12.1,14.9
RT,397,1100,22.1,28.8
RT,366,1115,27.1,21
RT,385,1400,30.3,33.3
RT,400,1175,27.6,32.6
SS,198,185,11.8,15.1
RT,365,970,25.9,31.6
SS,194,170,11.6,14
SS,195,175,12,15.6
SS,200,165,11.5,14.5
RT,384,1260,28.6,32.5
SS,159,110,9.9,11.1
SS,161,100,9.3,11.5
SS,191,190,12.3,14.8
CH,216,305,16,20.4
CH,256,510,18.8,23.3
SS,161,90,9.5,11.3
RT,396,1195,27,23.8
RT,391,1035,27.9,33.1
SS,160,90,8.8,11.4
SS,183,160,12.7,14.6
SS,156,85,9.7,11
RT,393,1155,28.3,30.9
RT,397,1260,27.8,32.9
SS,159,95,8.9,10.4
CH,255,440,18.6,22.8
SS,197,175,10,14.9
CH,218,295,16.1,19.4
SS,196,160,12.6,14.5
RT,384,1010,26.8,31.1
RT,385,990,26,29.6
SS,181,150,11.4,14.3
CH,225,300,16,20.1
RT,379,945,24.5,31.3
SS,201,188,11.7,14.9
SS,161,95,10.6,11.5
CH,230,330,15.7,19.4
SS,159,95,9.9,11.2
RT,367,970,26.4,30.5
RT,396,1240,28.9,32.8
SS,157,105,10,11.5
SS,191,165,11.5,14.9
SS,191,170,12.1,15.1
SS,168,100,10.2,11.9
RT,428,1290,28.4,33.9
CH,252,470,19.5,28.4
SS,192,175,11.7,14.2
SS,195,195,13.6,14
CH,233,335,16.3,21.3
RT,364,1150,26.1,28.2
RT,370,960,25.4,30.4
RT,400,1130,28.3,29.4
RT,375,925,25.4,28.6
RT,398,1205,27.6,33.4
RT,385,1040,27.2,31.5
SS,156,100,9.9,11.2
CH,230,335,16.3,19.7
CH,220,335,16.2,20
SS,163,105,10.3,11.7
RT,376,860,25.6,30
RT,360,935,25.8,30
RT,372,1010,24.3,29
RT,400,1285,29.7,33.5
SS,194,210,13,14.5
RT,370,830,23.6,27.8
SS,160,95,10.2,11.2
RT,403,1350,28,32.8
RT,375,1010,25,30.8
RT,373,960,27.7,32.5
RT,385,1370,26.4,29.2
SS,143,170,12.8,13.9
SS,162,100,8.7,11.4
RT,392,1250,28.6,32.9
RT,372,915,24.7,28.2
RT,375,850,25,28
RT,415,1285,29.4,34
SS,161,95,9.8,11.7
RT,380,1005,27,31.6
RT,411,1220,28.1,32.7
SS,161,95,9.6,12.4
SS,165,100,9.8,12
RT,393,1265,28.3,32.7
RT,370,1020,24.6,30
CH,230,360,16,22.1
RT,365,895,24.5,28.9
RT,371,1160,25.7,28.4
RT,400,1585,29,33.8
RT,382,1140,24.9,31.6
RT,371,1115,25.3,29.2
RT,370,1145,25.4,30.2
SS,194,185,12.8,14.8
RT,347,990,25.3,29.8
SS,195,165,11.7,14.5
RT,392,1030,26.3,28.1
CH,220,320,15.5,19.5
SS,193,105,13,15.6
RT,365,990,26.4,30
RT,387,1065,28,32.7
RT,400,1050,26.1,29.7
RT,362,840,23.2,26.1
SS,198,190,12.2,15.8
SS,190,200,12.7,15
SS,197,185,12.8,15.6
RT,370,1000,26.9,31.4
SS,200,185,12.8,15.2
RT,360,1325,26.2,30.6
RT,366,945,25.3,27.2
RT,402,1350,28.7,31
RT,366,805,23.5,25.7
RT,380,1525,26,27.6
SS,190,175,12.7,15.4
RT,360,790,21.9,27.6
RT,369,860,25.2,28
RT,199,1290,28.7,32.1
